osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,ref
176722543,footway,False,True,77.53,"LINESTRING (35.6501726 139.558007, 35.6504526 139.557809, 35.6504744 139.5577527, 35.6503306 139.5573959)",,,,
478804346,footway,False,True,20.972,"LINESTRING (35.6501726 139.558007, 35.6501499 139.5580273, 35.6500259 139.5581528)",,,,
652577953,footway,False,False,46.669,"LINESTRING (35.6538097 139.5497222, 35.6539405 139.5492314)",,,,
652577953,footway,False,False,55.271,"LINESTRING (35.6533204 139.5515085, 35.6533199 139.5514794, 35.6534711 139.5509273)",,,,
652577953,footway,False,False,5.278,"LINESTRING (35.65334 139.5515617, 35.6533204 139.5515085)",,,,
163192406,residential,False,True,26.77,"LINESTRING (35.6491642 139.5512482, 35.6491438 139.5515434)",,,,
171642079,residential,False,False,45.571,"LINESTRING (35.6497121 139.5571576, 35.6497412 139.5571573, 35.649943 139.5572472, 35.6500367 139.557416)",,,,
148585929,residential,False,True,36.18,"LINESTRING (35.6490951 139.5538353, 35.6490119 139.5542224)",,,,
694272689,footway,False,True,7.722,"LINESTRING (35.6505422 139.5571709, 35.6505433 139.5571576, 35.6505084 139.5570997)",,,,
148585929,residential,False,True,25.985999999999997,"LINESTRING (35.6490754 139.5535554, 35.6490968 139.5535967, 35.6490951 139.5538353)",,,,
51409837,unclassified,False,False,52.105999999999995,"LINESTRING (35.6513006 139.5458996, 35.6513083 139.5459909, 35.6513077 139.5460582, 35.6512461 139.5463351, 35.6512089 139.5464573)",,,,
51409837,unclassified,False,False,104.91,"LINESTRING (35.6511546 139.5466353, 35.6511137 139.5467698, 35.6510744 139.546895, 35.6509358 139.5473675, 35.650824 139.5477227)",,,,
51409837,unclassified,False,False,11.765,"LINESTRING (35.6512089 139.5464573, 35.6511717 139.5465792)",,,,
51409837,unclassified,False,False,35.988,"LINESTRING (35.6515838 139.5449137, 35.6515488 139.5450318, 35.6514892 139.5451549, 35.6514568 139.5452779)",,,,
51409837,unclassified,False,False,79.109,"LINESTRING (35.6507308 139.5480512, 35.6504852 139.5488729)",,,,
889218580,tertiary,False,True,14.854,"LINESTRING (35.6525347 139.5568801, 35.6526459 139.556789)",3,(八雲台二丁目),40,
1186151007,footway,False,False,8.147,"LINESTRING (35.6546709 139.5466607, 35.6546958 139.5465759)",,,,
1186151007,footway,False,False,64.855,"LINESTRING (35.6548967 139.5458363, 35.6550924 139.5451601)",,,,
1186151007,footway,False,False,46.57,"LINESTRING (35.6546958 139.5465759, 35.6548255 139.5460858)",,,,
51409837,unclassified,False,False,31.439,"LINESTRING (35.650824 139.5477227, 35.6507308 139.5480512)",,,,
1186151007,footway,False,False,6.614,"LINESTRING (35.6551233 139.5450532, 35.6551434 139.5449843)",,,,
1186151007,footway,False,False,23.892,"LINESTRING (35.6548255 139.5460858, 35.6548967 139.5458363)",,,,
171642079,residential,False,False,7.473,"LINESTRING (35.6500367 139.557416, 35.6500746 139.5574843)",,,,
163192406,residential,False,True,3.522,"LINESTRING (35.6491438 139.5515434, 35.6491364 139.5515813)",,,,
163192406,residential,False,True,1.78,"LINESTRING (35.6491643 139.5512285, 35.6491642 139.5512482)",,,,
26196118,tertiary,False,True,10.052,"LINESTRING (35.6505802 139.5570408, 35.6506599 139.5569883)",2,,40,
1082910705,footway,False,True,11.462,"LINESTRING (35.6500259 139.5581528, 35.6500778 139.5582624)",,,,
478804346,footway,False,False,20.972,"LINESTRING (35.6500259 139.5581528, 35.6501499 139.5580273, 35.6501726 139.558007)",,,,
163192404,residential,False,False,25.593,"LINESTRING (35.6493613 139.5516415, 35.6491364 139.5515813)",,,,
163192404,residential,False,True,43.347,"LINESTRING (35.6493613 139.5516415, 35.6495566 139.5516905, 35.6497462 139.5517134)",,,,
176759826,residential,False,True,22.657,"LINESTRING (35.64942 139.5552329, 35.6496198 139.5552821)",,,,
176722442,footway,False,False,5.13,"LINESTRING (35.6499702 139.5575872, 35.6499793 139.5576002, 35.6500007 139.5576298)",,,,
889218578,unclassified,False,True,11.627,"LINESTRING (35.6526459 139.556789, 35.6527076 139.5566851)",,八雲台通り(八雲台二丁目),30,
652577953,footway,False,False,115.209,"LINESTRING (35.6534711 139.5509273, 35.6538097 139.5497222)",,,,
741401557,footway,False,False,7.14,"LINESTRING (35.6533239 139.5516382, 35.65334 139.5515617)",,,,
250683133,residential,False,True,34.244,"LINESTRING (35.6490894 139.5530777, 35.649078 139.5532177, 35.6490599 139.5533076, 35.6490564 139.5534532)",,,30,
163192406,residential,False,True,64.562,"LINESTRING (35.6490625 139.5523672, 35.6490623 139.5525275, 35.6490995 139.552806, 35.6490894 139.5530777)",,,,
497191223,residential,False,False,43.951,"LINESTRING (35.649737 139.5492836, 35.649729 139.549355, 35.6496845 139.5497657)",,,20,
497191223,residential,False,False,91.149,"LINESTRING (35.6504852 139.5488729, 35.6502332 139.5490284, 35.6499726 139.5491583, 35.649737 139.5492836)",,,20,
"[889218564, 26196118]",tertiary,False,True,131.549,"LINESTRING (35.6513518 139.5569023, 35.6520376 139.5568871, 35.6524929 139.5568805, 35.6525347 139.5568801)","['3', '2']",,40,
250583268,residential,False,False,30.548,"LINESTRING (35.6494439 139.5548961, 35.64942 139.5552329)",,,,
1186151007,footway,False,False,48.998,"LINESTRING (35.6545182 139.5471694, 35.6546709 139.5466607)",,,,
693675881,footway,False,True,103.916,"LINESTRING (35.6531384 139.5528817, 35.6532523 139.5517613, 35.6532681 139.5517534)",,,,
741401557,footway,False,False,8.414,"LINESTRING (35.6533082 139.5517293, 35.6533239 139.5516382)",,,,
242574676,residential,False,False,104.679,"LINESTRING (35.6490119 139.5542224, 35.6493497 139.5542841, 35.6493475 139.5543378, 35.6494674 139.5543619, 35.6494439 139.5548961)",,,,
1186151007,footway,False,False,74.625,"LINESTRING (35.6552883 139.5444738, 35.6555109 139.5436946)",,,,
1186151007,footway,False,False,45.386,"LINESTRING (35.6543817 139.5476428, 35.6545182 139.5471694)",,,,
778777391,footway,False,True,99.837,"LINESTRING (35.6495685 139.556074, 35.6495678 139.556428, 35.6496259 139.5567108, 35.6497121 139.5571576)",,,,
778788452,footway,False,False,44.449,"LINESTRING (35.6527076 139.5566851, 35.6527706 139.5561993)",,,,
778788452,footway,False,False,27.973,"LINESTRING (35.6527706 139.5561993, 35.6528061 139.5558928)",,,,
778788452,footway,False,False,96.736,"LINESTRING (35.6528061 139.5558928, 35.6529313 139.5548333)",,,,
51409837,unclassified,False,False,14.433,"LINESTRING (35.6516312 139.544765, 35.6515838 139.5449137)",,,,
1082910705,footway,False,False,11.462,"LINESTRING (35.6500778 139.5582624, 35.6500259 139.5581528)",,,,
778788452,footway,False,False,54.592,"LINESTRING (35.6529313 139.5548333, 35.6530015 139.5542353)",,,,
778788452,footway,False,False,47.441,"LINESTRING (35.6530015 139.5542353, 35.6530402 139.5537124)",,,,
778788452,footway,False,False,38.804,"LINESTRING (35.6530402 139.5537124, 35.6530845 139.5532864)",,,,
1186151007,footway,False,False,3.046,"LINESTRING (35.6552827 139.5445068, 35.6552883 139.5444738)",,,,
778788452,footway,False,False,37.054,"LINESTRING (35.6530845 139.5532864, 35.6531384 139.5528817)",,,,
148585929,residential,False,True,9.473,"LINESTRING (35.6490564 139.5534532, 35.6490754 139.5535554)",,,,
51409837,unclassified,False,False,36.053,"LINESTRING (35.6514568 139.5452779, 35.6514488 139.5453755, 35.651374 139.545662)",,,,
652577953,footway,False,False,36.396,"LINESTRING (35.6542771 139.5480245, 35.6543817 139.5476428)",,,,
26196118,tertiary,False,True,78.047,"LINESTRING (35.6506599 139.5569883, 35.6507095 139.5569609, 35.6507583 139.5569389, 35.6508183 139.5569221, 35.6508801 139.556913, 35.6513518 139.5569023)",2,,40,
26196119,primary,False,True,9.595,"LINESTRING (35.6505084 139.5570997, 35.6505802 139.5570408)",2,狛江通り,40,11
163192404,residential,False,False,43.347,"LINESTRING (35.6497462 139.5517134, 35.6495566 139.5516905, 35.6493613 139.5516415)",,,,
652577953,footway,False,False,23.725,"LINESTRING (35.6542049 139.5482716, 35.6542771 139.5480245)",,,,
652577953,footway,False,False,27.906,"LINESTRING (35.654128 139.5485656, 35.6542049 139.5482716)",,,,
497191223,residential,False,False,107.202,"LINESTRING (35.6496845 139.5497657, 35.6496462 139.5501422, 35.6496194 139.5505716, 35.6496158 139.5509479)",,,20,
176722544,footway,False,False,31.152,"LINESTRING (35.6503306 139.5573959, 35.6505324 139.5571878, 35.6505422 139.5571709)",,,,
51409837,unclassified,False,False,22.967,"LINESTRING (35.651374 139.545662, 35.6513006 139.5458996)",,,,
26196119,primary,False,False,14.873,"LINESTRING (35.6500746 139.5574843, 35.6499702 139.5575872)",2,狛江通り,40,11
163192406,residential,False,True,29.464,"LINESTRING (35.6491802 139.550903, 35.6491643 139.5512285)",,,,
163192406,residential,False,True,50.019,"LINESTRING (35.6490959 139.5518157, 35.6490758 139.5519941, 35.6490625 139.5523672)",,,,
1186151007,footway,False,False,10.251,"LINESTRING (35.6550924 139.5451601, 35.6551233 139.5450532)",,,,
163192404,residential,False,True,25.593,"LINESTRING (35.6491364 139.5515813, 35.6493613 139.5516415)",,,,
163192406,residential,False,True,21.653,"LINESTRING (35.6491364 139.5515813, 35.6490959 139.5518157)",,,,
1186151007,footway,False,False,45.839,"LINESTRING (35.6551434 139.5449843, 35.6552827 139.5445068)",,,,
155453481,tertiary,False,True,48.611,"LINESTRING (35.6496158 139.5509479, 35.6493076 139.5509194, 35.6491802 139.550903)",2,布田南通り,30,
693675881,footway,False,True,4.962,"LINESTRING (35.6532681 139.5517534, 35.6533082 139.5517293)",,,,
652577953,footway,False,False,63.667,"LINESTRING (35.6539405 139.5492314, 35.654128 139.5485656)",,,,
51409837,unclassified,False,False,5.414,"LINESTRING (35.6511717 139.5465792, 35.6511546 139.5466353)",,,,
176722442,footway,False,False,39.076,"LINESTRING (35.6500007 139.5576298, 35.6501726 139.558007)",,,,
778777391,footway,False,True,71.781,"LINESTRING (35.6496198 139.5552821, 35.6495685 139.556074)",,,,
